fpr_per_h,event_sensitivity
0.023691224375637525,0.02564102564102564
0.07107367312691258,0.038461538461538464
0.0947648975025501,0.0641025641025641
0.15399295844164393,0.10256410256410256
0.24875785594419403,0.1282051282051282
0.2842946925076503,0.15384615384615385
0.39090520219801916,0.19230769230769232
0.5212069362640256,0.23076923076923078
0.6159718337665757,0.2692307692307692
0.7936560165838571,0.2948717948717949
0.8410384653351322,0.41025641025641024
0.9594945872133198,0.5
1.1134875456549638,0.47435897435897434
1.2319436675331514,0.5512820512820513
1.409627850350433,0.5897435897435898
1.492547135665164,0.6666666666666666
1.5754664209798954,0.7051282051282052
1.6702313184824455,0.7051282051282052
1.7768418281728144,0.6923076923076923
1.8123786647362707,0.717948717948718
1.9071435622388209,0.7051282051282052
1.9308347866144584,0.7435897435897436
1.9900628475535522,0.6923076923076923
2.061136520680465,0.7435897435897436
2.0848277450561024,0.6923076923076923
2.10851896943174,0.717948717948718
2.1203645816195587,0.7435897435897436
2.1203645816195587,0.7435897435897436
2.1203645816195587,0.717948717948718
2.1203645816195587,0.7307692307692307
2.1322101938073774,0.7307692307692307
2.1322101938073774,0.7307692307692307
2.144055805995196,0.717948717948718
2.144055805995196,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
2.155901418183015,0.717948717948718
