auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,n_pre,n_int,patient,model,rep
0.41480094959824687,0.13244588253822234,0.9763513513513513,0.03445945945945946,0.16821885913853318,0.2869910625620655,0.5054054054054054,347.59459459459464,0.12962135640756378,296,1480,chb01,SVM,Off-diag mean (1d)
0.667642896274653,0.3493942862733227,0.4594594594594595,0.897972972972973,0.4738675958188153,0.46655231560891935,0.6787162162162163,36.72972972972973,0.19636512730710848,296,1480,chb02,SVM,Off-diag mean (1d)
0.4908119267916565,0.16375191275059398,0.8536036036036037,0.23693693693693693,0.1828268210323203,0.30115216527612243,0.5452702702702703,274.7027027027027,0.1342088179576974,444,2220,chb03,SVM,Off-diag mean (1d)
0.30238540905770633,0.11659777836890554,0.9831081081081081,0.04527027027027027,0.17077464788732394,0.291,0.5141891891891892,343.7027027027027,0.14469565846504498,296,1480,chb04,SVM,Off-diag mean (1d)
0.5104861618375132,0.18630305154696228,0.4166666666666667,0.6617117117117117,0.19764957264957264,0.2681159420289855,0.5391891891891892,121.78378378378378,0.18961496033012723,444,2220,chb05,SVM,Off-diag mean (1d)
0.537292574734812,0.18384005859375885,0.8977820636451301,0.1728,0.18373791197947503,0.30504587155963303,0.5352910318225651,297.792,0.16289815200432733,1037,5000,chb06,SVM,Off-diag mean (1d)
0.5849973488195935,0.2192014714595338,0.4696629213483146,0.6723595505617977,0.22281449893390193,0.3022415039768619,0.5710112359550562,117.95056179775281,0.16497761925291632,445,2225,chb07,SVM,Off-diag mean (1d)
0.4617284152975608,0.1487265194007343,0.8839406207827261,0.1214574898785425,0.16751918158567775,0.2816598580950333,0.5026990553306343,316.2753036437247,0.12951799547435172,741,3705,chb08,SVM,Off-diag mean (1d)
0.6301668644996348,0.2049044116533137,0.7432432432432432,0.5182432432432432,0.2357984994640943,0.3580146460537022,0.6307432432432432,173.43243243243245,0.18361435777288876,592,2960,chb09,SVM,Off-diag mean (1d)
0.6653825277980684,0.26454848127782976,0.713963963963964,0.575,0.2514875049583499,0.3719565855089469,0.644481981981982,153.0,0.15878742894887374,888,4440,chb10,SVM,Off-diag mean (1d)
0.5512225062900739,0.17600304220123308,0.8220720720720721,0.3247747747747748,0.1958154506437768,0.31629116117850953,0.5734234234234235,243.08108108108107,0.15415492582672477,444,2220,chb13,SVM,Off-diag mean (1d)
0.5557965934205343,0.1994492667024436,0.36046511627906974,0.744702842377261,0.2202052091554854,0.2733953944145027,0.5525839793281654,91.90697674418605,0.14884390246632895,774,3870,chb14,SVM,Off-diag mean (1d)
0.5622392578125,0.18982647301501632,0.628125,0.493125,0.19861660079051383,0.30180180180180183,0.560625,182.475,0.16699679150040933,320,1600,chb15,SVM,Off-diag mean (1d)
0.36511058143494257,0.12537055783978168,1.0,0.0023054755043227667,0.16698748796920115,0.2861855670103092,0.5011527377521614,359.17002881844377,0.10273679875943312,347,1735,chb16,SVM,Off-diag mean (1d)
0.5713294375456538,0.23181345673175185,0.49324324324324326,0.6265765765765766,0.20896946564885496,0.29356568364611263,0.55990990990991,134.43243243243242,0.16326861474377719,444,2220,chb17,SVM,Off-diag mean (1d)
0.37165129656683704,0.1312440654977747,0.008445945945945946,0.9956081081081081,0.2777777777777778,0.01639344262295082,0.5020270270270271,1.5810810810810811,0.21441394901725364,592,2960,chb18,SVM,Off-diag mean (1d)
0.18973018626734844,0.09902468446666247,0.0,1.0,0.0,0.0,0.5,0.0,inf,296,1480,chb19,SVM,Off-diag mean (1d)
0.24958394841400988,0.10559893282854464,1.0,0.0005420054200542005,0.166741979213737,0.2858249419054996,0.5002710027100271,359.8048780487805,0.1451394032319447,369,1845,chb20,SVM,Off-diag mean (1d)
0.5745000913075238,0.20548541215064636,0.46283783783783783,0.7195945945945946,0.24818840579710144,0.3231132075471698,0.5912162162162162,100.94594594594595,0.17586401470215896,296,1480,chb22,SVM,Off-diag mean (1d)
0.507470297351108,0.16586898884909246,0.6069078947368421,0.4621710526315789,0.18413173652694612,0.28254211332312407,0.5345394736842105,193.61842105263156,0.1491873775176094,608,3040,chb23,SVM,Off-diag mean (1d)
0.42093322435124525,0.1498489010119013,0.9329073482428115,0.08920730298128034,0.18185592692547228,0.30437804030576787,0.511057325612046,327.8853709267391,0.14639082449881866,939,4327,chb24,SVM,Off-diag mean (1d)
