method,pid_estimate,auc,auc_pr,sens,spec,fpr_h
V6 SVM PDC all-bands,-,0.5465398408121125,0.3908364536524683,0.6060985251055441,0.5264686908398039,163.46748868897492
"V3 GC-CNN (324d, PID=99.1%)",99.1%,0.5156869565217391,0.2263217391304348,0.2155521739130435,0.7927304347826086,63.782304347826084
V10 LR (Off-diag mean (1d)),11.3%,0.5449032428504139,0.21895105488264188,0.6011779421197344,0.5677906530329433,155.5953649081404
V10 LR (Net-flow (18d)),36.7%,0.5601061415045369,0.21250535756356792,0.580534530042215,0.5533896111348501,160.779739991454
V10 SVM (Net-flow (18d)),36.7%,0.5490492616910008,0.2003678973928919,0.6116608144017452,0.5188099571565368,173.22841542364682
"V4 LR (67d, PID=85.4%)",85.4%,0.5063614302169601,0.18938428961078152,0.6645961350534673,0.4309767837903483,198.2586969659094
V10 SVM (Off-diag mean (1d)),11.3%,0.48501249978434396,0.1785356016741917,0.652989831453828,0.4473723508573089,198.9459536913688
"V4 SVM (67d, PID=85.4%)",85.4%,0.4732468302550316,0.1647744787645185,0.5534466568145179,0.5124177231478009,170.74564575374825
