label,mean_acc,std_acc,chance,multiple_of_chance
Raw GC flat (324d),0.9923885762736621,0.0008874045408676471,0.047619047619047616,20.840160101746903
All engineered (67d),0.858435178208492,0.005083220284667822,0.047619047619047616,18.027138742378334
In-degree only (18d),0.7272659260090523,0.007349802156914686,0.047619047619047616,15.272584446190098
Asymmetry off-diag (153d),0.6887982215667098,0.007687754663982461,0.047619047619047616,14.464762652900905
Out-degree only (18d),0.6718911707128519,0.006386071583280041,0.047619047619047616,14.10971458496989
Network scalars (8d),0.39050540352302215,0.0006777683640553442,0.047619047619047616,8.200613473983465
Net-flow only (18d),0.3840580484615947,0.004185662617383107,0.047619047619047616,8.065219017693488
Top-5 singular values (5d),0.331169964712777,0.004329365284259586,0.047619047619047616,6.954569258968316
Off-diag mean only (1d),0.10303031922378796,0.00861360120453822,0.047619047619047616,2.163636703699547
