method,identifiability,lopo_auc
V3 GC-CNN,0.9923885762736621,0.5224190476190476
V4 LR (engineered),0.858435178208492,0.5244148997614326
V4 RF (engineered),0.858435178208492,0.5089559933152936
V4 XGB (engineered),0.858435178208492,0.5090817417213769
V4 SVM (engineered),0.858435178208492,0.4904608140888441
V5 DANN,0.9923885762736621,0.5097227139868733
V5b DANN tuned,0.9923885762736621,0.5435686868507361
