representation,model,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,auc_std,auc_pr_std,sensitivity_std,specificity_std,precision_std,f1_std,balanced_accuracy_std,fpr_per_hour_std
Net-flow (18d),LR,0.5601061415045369,0.21250535756356792,0.580534530042215,0.5533896111348501,0.21108677280986393,0.2869049158447828,0.5669620705885327,160.779739991454,0.08446517269287905,0.051390388565252715,0.27860518561837117,0.278157371952458,0.06285964097831338,0.09115449060323383,0.04518106738795167,100.13665390288489
Net-flow (18d),SVM,0.5490492616910008,0.2003678973928919,0.6116608144017452,0.5188099571565368,0.2147600143224637,0.306001244365914,0.565235385779141,173.22841542364682,0.07449752112234488,0.04824959813575742,0.21638665424539097,0.24395805904287968,0.03816709209984566,0.043457259432560534,0.05034520821354381,87.8249012554367
Off-diag mean (1d),LR,0.5449032428504139,0.21895105488264188,0.6011779421197344,0.5677906530329433,0.27843448009086574,0.3118722621481789,0.5844842975763388,155.5953649081404,0.1431670818450449,0.10069741205254333,0.3338996751899401,0.3583456050166148,0.1777823820841605,0.13997074768842604,0.08060581673528679,129.00441780598132
Off-diag mean (1d),SVM,0.48501249978434396,0.1785356016741917,0.652989831453828,0.4473723508573089,0.204951673042711,0.28172482402028654,0.5501810911555686,198.9459536913688,0.13123774875452243,0.058275348189207085,0.303761386832007,0.33338720297190155,0.0818786244394641,0.10089721714678794,0.05108827374388441,120.01939306988456
