band,mean_abs_diff,std_abs_diff
delta,0.49666262774975145,0.13088868971859782
theta,0.1666847566388369,0.012702458388395808
alpha,0.10355744322743644,0.06592230390288675
beta,0.029844018051655572,0.014070916747196313
