patient,n_pre,n_int,pre_mean,int_mean,delta,mannwhitney_p,wasserstein
chb01,50,50,0.016656297645337815,0.018294098238925458,-0.0016378005935876426,0.06929040724125803,0.0016378005935876406
chb08,50,50,0.017383670249224523,0.01669500735405407,0.0006886628951704547,0.45864151796675745,0.0009703268185025146
chb14,50,50,0.015580994371770658,0.014206772503968521,0.0013742218678021376,0.00010541671182993176,0.00151944901053142
