auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,n_pre,n_int,patient,model,rep
0.6528602081811541,0.22837051089667537,0.6790540540540541,0.5871621621621622,0.24753694581280788,0.3628158844765343,0.6331081081081081,148.62162162162164,0.4939122247177494,296,1480,chb01,LR,Off-diag mean (1d)
0.7194188276113952,0.4191453080762798,0.5135135135135135,0.9418918918918919,0.6386554621848739,0.5692883895131086,0.7277027027027028,20.91891891891892,0.5197837709599477,296,1480,chb02,LR,Off-diag mean (1d)
0.513040236182128,0.16415542894292717,0.963963963963964,0.11936936936936937,0.17960553923625683,0.30279448178280866,0.5416666666666667,317.02702702702703,0.4650441734445351,444,2220,chb03,LR,Off-diag mean (1d)
0.7423438641344047,0.5185306704274609,0.46959459459459457,0.9777027027027027,0.8081395348837209,0.5940170940170939,0.7236486486486486,8.027027027027028,0.5273089997637999,296,1480,chb04,LR,Off-diag mean (1d)
0.5494795471146823,0.20964719902099727,0.45045045045045046,0.6941441441441442,0.22753128555176336,0.30234315948601664,0.5722972972972973,110.1081081081081,0.510677269343242,444,2220,chb05,LR,Off-diag mean (1d)
0.49221947926711673,0.15960806089361576,0.9604628736740598,0.0766,0.17744521646178515,0.2995488721804512,0.51853143683703,332.424,0.5060197280282898,1037,5000,chb06,LR,Off-diag mean (1d)
0.5263623279888903,0.16730665066396966,0.9415730337078652,0.13707865168539327,0.1791363830696879,0.3010057471264368,0.5393258426966292,310.65168539325845,0.4759983858399727,445,2225,chb07,LR,Off-diag mean (1d)
0.722902631852131,0.2577028489952514,0.7800269905533064,0.6415654520917679,0.30325288562434416,0.43672081601813373,0.7107962213225372,129.03643724696357,0.4991592088903203,741,3705,chb08,LR,Off-diag mean (1d)
0.5781192932797663,0.17680447538717872,0.8868243243243243,0.3027027027027027,0.20278099652375434,0.3300848789688777,0.5947635135135135,251.02702702702706,0.5066118864137997,592,2960,chb09,LR,Off-diag mean (1d)
0.6605597151205259,0.2632686393088538,0.713963963963964,0.5743243243243243,0.25118858954041207,0.37162954279015237,0.6441441441441442,153.24324324324323,0.5020497491809192,888,4440,chb10,LR,Off-diag mean (1d)
0.38952601249898544,0.1404544803800139,0.9977477477477478,0.0076576576576576575,0.1674225245653817,0.2867313915857605,0.5027027027027027,357.2432432432432,0.4756084149535831,444,2220,chb13,LR,Off-diag mean (1d)
0.5380128731579966,0.20327400532349685,0.4043927648578811,0.6834625322997416,0.2035110533159948,0.27076124567474047,0.5439276485788114,113.95348837209302,0.4985766756368837,774,3870,chb14,LR,Off-diag mean (1d)
0.45535253906249995,0.14337669060571404,0.953125,0.07875,0.17144463181562675,0.29061457837065274,0.5159375,331.65,0.4660587029810061,320,1600,chb15,LR,Off-diag mean (1d)
0.4266807298457756,0.16514562275957093,0.0345821325648415,0.9930835734870317,0.5,0.0646900269541779,0.5138328530259366,2.4899135446685876,0.5637618920117804,347,1735,chb16,LR,Off-diag mean (1d)
0.5972577307036766,0.2589622873684969,0.25,0.9112612612612613,0.36038961038961037,0.2952127659574468,0.5806306306306306,31.945945945945944,0.4994807364877159,444,2220,chb17,LR,Off-diag mean (1d)
0.4699524059532506,0.18303045392521988,0.25,0.8452702702702702,0.24422442244224424,0.24707846410684475,0.5476351351351352,55.70270270270271,0.48644224036353356,592,2960,chb18,LR,Off-diag mean (1d)
0.7934760774287802,0.342044543717364,0.7837837837837838,0.6851351351351351,0.332378223495702,0.4668008048289738,0.7344594594594595,113.35135135135137,0.4816380149027257,296,1480,chb19,LR,Off-diag mean (1d)
0.19769684417711386,0.09942425490239618,0.0,1.0,0.0,0.0,0.5,0.0,inf,369,1845,chb20,LR,Off-diag mean (1d)
0.6030861943024105,0.20608263106799615,0.543918918918919,0.6635135135135135,0.24430955993930198,0.33717277486910996,0.6037162162162162,121.13513513513514,0.4983893584528347,296,1480,chb22,LR,Off-diag mean (1d)
0.4212801354743767,0.1369052203800292,0.9572368421052632,0.06578947368421052,0.17007597895967272,0.288833746898263,0.5115131578947368,336.3157894736842,0.47081938421866865,608,3040,chb23,LR,Off-diag mean (1d)
0.39334042652163287,0.1547321694919716,0.09052183173588925,0.9371388953085279,0.23809523809523808,0.13117283950617287,0.5138303635222086,22.629997688929976,0.5306436451350737,939,4327,chb24,LR,Off-diag mean (1d)
